City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
399,Shenzhen,CN,64.15,clear sky,22.5455,114.0683,Shenzhen Shanghai Hotel
400,Rawson,AR,59.92,clear sky,-43.3002,-65.1023,Hosteria Sampedro
405,Faya,SA,52.32,clear sky,18.3851,42.4509,املاك خالد الشعشوع
407,Koregaon,IN,67.41,overcast clouds,18.65,74.0833,hotel nisarg lounge
411,Perth,AU,61.66,clear sky,-31.9333,115.8333,Beatty Lodge
414,Lata,PT,50.81,clear sky,40.1629,-8.3327,Casa Maquia
418,Kyaikto,MM,74.71,overcast clouds,17.3,97.0167,နီလာ တည်းခိုခန်း
420,Rabo De Peixe,PT,62.28,broken clouds,37.8,-25.5833,Quinta das Giestas
426,Coihaique,CL,63.21,scattered clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
427,Hit,IQ,56.37,clear sky,33.6416,42.8251,صالون زيرو
430,Richards Bay,ZA,73.45,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
436,Ambovombe,MG,73.22,scattered clouds,-25.1667,46.0833,RELAHARA
440,Sur,OM,72.77,clear sky,22.5667,59.5289,Sur Plaza Hotel
442,Tahta,EG,62.65,overcast clouds,26.7693,31.5021,مصطفي عساف
446,Grafton,US,60.15,scattered clouds,42.207,-71.6856,The Grafton Inn
452,Muros,ES,53.83,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
453,Banyo,CM,73.54,few clouds,6.75,11.8167,Motel JOMBA
463,Tocopilla,CL,69.62,overcast clouds,-22.092,-70.1979,Hotel Galvarino
466,Anzio,IT,56.53,overcast clouds,41.4853,12.6179,Beauty Hotel & SPA
468,Vangaindrano,MG,74.73,overcast clouds,-23.35,47.6,Hotel Fanilo
473,Lima,PE,68.25,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
489,Ballina,AU,69.84,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
494,Atar,MR,73.06,overcast clouds,20.5169,-13.0499,Oumou Elghoura
502,Chubbuck,US,55.45,clear sky,42.9208,-112.4661,Clarion Inn Pocatello
